gta06_hhld,age,total,Mode
5174,36,19,Transit (Excluding GO rail)
5174,42,75,Transit (Excluding GO rail)
5174,63,64,Transit (Excluding GO rail)
5174,77,27,Transit (Excluding GO rail)
5174,78,27,Transit (Excluding GO rail)
5175,13,69,Transit (Excluding GO rail)
5175,17,64,Transit (Excluding GO rail)
5175,18,68,Transit (Excluding GO rail)
5175,19,269,Transit (Excluding GO rail)
5175,20,121,Transit (Excluding GO rail)
5175,26,64,Transit (Excluding GO rail)
5175,30,97,Transit (Excluding GO rail)
5175,43,175,Transit (Excluding GO rail)
5175,48,102,Transit (Excluding GO rail)
5175,69,43,Transit (Excluding GO rail)
5175,76,53,Transit (Excluding GO rail)
5176,27,111,Transit (Excluding GO rail)
5176,32,23,Transit (Excluding GO rail)
5176,60,111,Transit (Excluding GO rail)
5178,14,74,Transit (Excluding GO rail)
5178,17,37,Transit (Excluding GO rail)
5178,80,26,Transit (Excluding GO rail)
5179,23,177,Transit (Excluding GO rail)
5179,24,224,Transit (Excluding GO rail)
5179,25,52,Transit (Excluding GO rail)
5179,27,100,Transit (Excluding GO rail)
5179,29,67,Transit (Excluding GO rail)
5179,30,67,Transit (Excluding GO rail)
5179,34,24,Transit (Excluding GO rail)
5179,36,106,Transit (Excluding GO rail)
5179,45,34,Transit (Excluding GO rail)
5179,66,51,Transit (Excluding GO rail)
5179,73,20,Transit (Excluding GO rail)
5180,27,24,Transit (Excluding GO rail)
5180,41,57,Transit (Excluding GO rail)
5180,51,83,Transit (Excluding GO rail)
5180,68,67,Transit (Excluding GO rail)
5181,17,208,Transit (Excluding GO rail)
5181,18,151,Transit (Excluding GO rail)
5181,19,197,Transit (Excluding GO rail)
5181,20,350,Transit (Excluding GO rail)
5181,21,297,Transit (Excluding GO rail)
5181,30,66,Transit (Excluding GO rail)
5181,40,34,Transit (Excluding GO rail)
5181,46,34,Transit (Excluding GO rail)
5181,51,394,Transit (Excluding GO rail)
5181,53,107,Transit (Excluding GO rail)
5181,54,98,Transit (Excluding GO rail)
5181,63,25,Transit (Excluding GO rail)
5181,64,110,Transit (Excluding GO rail)
5181,66,119,Transit (Excluding GO rail)
5181,68,57,Transit (Excluding GO rail)
5181,70,29,Transit (Excluding GO rail)
5181,75,73,Transit (Excluding GO rail)
5181,80,109,Transit (Excluding GO rail)
5183,16,59,Transit (Excluding GO rail)
5183,39,143,Transit (Excluding GO rail)
5183,75,28,Transit (Excluding GO rail)
5186,17,78,Transit (Excluding GO rail)
5186,24,217,Transit (Excluding GO rail)
5186,28,90,Transit (Excluding GO rail)
5186,33,214,Transit (Excluding GO rail)
5186,46,33,Transit (Excluding GO rail)
5186,54,57,Transit (Excluding GO rail)
5187,19,17,Transit (Excluding GO rail)
5187,23,74,Transit (Excluding GO rail)
5187,26,315,Transit (Excluding GO rail)
5187,27,83,Transit (Excluding GO rail)
5187,38,20,Transit (Excluding GO rail)
5187,41,114,Transit (Excluding GO rail)
5187,52,106,Transit (Excluding GO rail)
5187,57,98,Transit (Excluding GO rail)
5187,60,71,Transit (Excluding GO rail)
5187,62,71,Transit (Excluding GO rail)
5187,63,71,Transit (Excluding GO rail)
5187,66,168,Transit (Excluding GO rail)
5187,69,47,Transit (Excluding GO rail)
5187,82,108,Transit (Excluding GO rail)
5188,23,128,Transit (Excluding GO rail)
5188,62,99,Transit (Excluding GO rail)
5188,76,21,Transit (Excluding GO rail)
5191,19,156,Transit (Excluding GO rail)
5191,81,26,Transit (Excluding GO rail)
5192,22,189,Transit (Excluding GO rail)
